Date,Centre_Name,Commodity_Name,Price
13-01-09,BHOPAL,Tomato,NA
13-01-09,MUMBAI,Tomato,NA
13-01-09,JAIPUR,Tomato,NA
13-01-09,PATNA,Tomato,NA
13-01-09,RANCHI,Tomato,NA
13-01-09,BHUBANESHWAR,Tomato,NA
13-01-09,KOLKATA,Tomato,NA
13-01-09,GUWAHATI,Tomato,NA
13-01-09,SHILLONG,Tomato,NA
13-01-09,AIZWAL,Tomato,NA
13-01-09,KOHIMA,Tomato,NA
13-01-09,AGARTALA,Tomato,NA
13-01-09,BENGALURU,Tomato,NA
13-01-09,T.PURAM,Tomato,NA
13-01-09,CHENNAI,Tomato,NA
13-01-09,HYDERABAD,Tomato,NA
14-01-09,CHANDIGARH,Tomato,NA
14-01-09,DELHI,Tomato,NA
14-01-09,SHIMLA,Tomato,NA
14-01-09,SRINAGAR,Tomato,NA
14-01-09,JAMMU,Tomato,NA
14-01-09,AMRITSAR,Tomato,NA
14-01-09,LUDHIANA,Tomato,NA
14-01-09,LUCKNOW,Tomato,NA
14-01-09,DEHRADUN,Tomato,NA
14-01-09,RAIPUR,Tomato,NA
14-01-09,AHMEDABAD,Tomato,NA
14-01-09,BHOPAL,Tomato,NA
14-01-09,MUMBAI,Tomato,NA
14-01-09,JAIPUR,Tomato,NA
14-01-09,PATNA,Tomato,NA
14-01-09,RANCHI,Tomato,NA
14-01-09,BHUBANESHWAR,Tomato,NA
14-01-09,KOLKATA,Tomato,NA
14-01-09,GUWAHATI,Tomato,NA
14-01-09,SHILLONG,Tomato,NA
14-01-09,AIZWAL,Tomato,NA
14-01-09,KOHIMA,Tomato,NA
14-01-09,AGARTALA,Tomato,NA
14-01-09,BENGALURU,Tomato,NA
14-01-09,T.PURAM,Tomato,NA
14-01-09,CHENNAI,Tomato,NA
14-01-09,HYDERABAD,Tomato,NA
15-01-09,CHANDIGARH,Tomato,NA
15-01-09,DELHI,Tomato,NA
15-01-09,SHIMLA,Tomato,NA
